ExcludedCompanyName
180 Life Sciences
AC Immune
ADMA
ADMA Biologics
AIM ImmunoTech
AN2 Therapeutics
ANI Pharmaceuticals
AVEO
AVEO Oncology
AVEO Pharmaceuticals
AVROBIO
Aarti
Aarti Drugs
AbCellera
Abbott India
Abbott Laboratories
Abeona
Abeona Therapeutics
Acasti
Acasti Pharma
AcelRx
AcelRx Pharmaceuticals
Aceto
Achieve
Achieve Life Sciences
Acorda
Acorda Therapeutics
Actinium
Actinium Pharmaceuticals
Adaptimmune
Adaptimmune Therapeutics
Adial
Adial Pharmaceuticals
Adicet
Adicet Bio
Adverum Biotechnologies
Affimed
AgeX
AgeX Therapeutics
Agenus
Agile
Agile Therapeutics
Aileron
Aileron Therapeutics
Akebia
Akebia Therapeutics
Akero
Akero Therapeutics
Akorn
Akorn Inc.
Alaunos
Alaunos Therapeutics
Alcami
Aldeyra
Aldeyra Therapeutics
Alembic
Alembic Pharmaceuticals
Alkem
Alkem Laboratories
Alkermes
Allena
Allena Pharmaceuticals
Allogene
Allogene Therapeutics
Alnylam
Alnylam Pharmaceuticals
Altamira
Altamira Therapeutics
Amarin
Amarin Corporation
Amneal
Amneal Pharmaceuticals
Amphastar
Amphastar Pharmaceuticals
Amryt
Amryt Pharma
Amylyx
Amylyx Pharmaceuticals
Amyris
AnaptysBio
Anavex
Anavex Life Sciences
Anika
Anika Therapeutics
Anixa
Anixa Biosciences
Antares
Antares Pharma
Apotex
Apotex Corp.
Aprea
Aprea Therapeutics
Aptinyx
Aptorum
Aptorum Group
Aptose
Aptose Biosciences
Aquestive
Aquestive Therapeutics
Arbor
Arbor Pharmaceuticals
Arbutus
Arbutus Biopharma
Arcellx
Arcutis
Arcutis Biotherapeutics
Ardelyx
Argenx
Arvinas
Ascendis
Ascendis Pharma
Assertio
Assertio Therapeutics
Atai
Atai Life Sciences
Athenex
Athersys
Athira
Athira Pharma
Atossa
Atossa Therapeutics
Aura
Aura Biosciences
Avadel
Avadel Pharmaceuticals
Avalon
Avalon GloboCare
Avid
Avid Bioservices
Avidity
Avidity Biosciences
Axsome
Axsome Therapeutics
Aytu BioScience
BB Biotech
BELLUS
BELLUS Health
Baudax
Baudax Bio
Bausch
Bausch Health
Baxter
Beam
Beam Therapeutics
Belite
Belite Bio
Bellerophon
Bellerophon Therapeutics
Berkeley Lights
BeyondSpring
Bio-Techne
BioCryst
BioCryst Pharmaceuticals
Biocon
Biocryst
Biocryst Pharmaceuticals
Biofrontera
Biogen Idec
Bionomics
Bliss
Bliss GVS Pharma
BrainStorm
BrainStorm Cell Therapeutics
BridgeBio
BridgeBio Pharma
Brooklyn
Brooklyn ImmunoTherapeutics
C4 Therapeutics
CRISPR
CRISPR Therapeutics
CSB
CSB Bank
CSL Limited
CTI
CTI BioPharma
CVS
CVS Health
Calithera
Calithera Biosciences
Cambrex
Can Fite Biopharma
Capricor
Capricor Therapeutics
Cara
Cara Therapeutics
Catalent
Cel-Sci
Cellectis
Celsion
Celsion Corporation
Celularity
Centessa
Centessa Pharmaceuticals
Cerevel
Cerevel Therapeutics
Chinook
Chinook Therapeutics
Chugai
Chugai Pharmaceutical
CinCor
CinCor Pharma
Cingulate
Cipla
Citius
Citius Pharmaceuticals
Clearside
Clearside Biomedical
Clovis
Clovis Oncology
Codexis
Coherus
Coherus BioSciences
Collegium Pharmaceutical
Concert
Concert Pharmaceuticals
Context
Context Therapeutics
Corbus
Corbus Pharmaceuticals
Cormedix
Cosmo
Cosmo Pharmaceuticals
Curia
Curia Inc.
Curis
Currax
Currax Pharmaceuticals
Cyclerion
Cyclerion Therapeutics
CymaBay
CymaBay Therapeutics
CytRx
Cytokinetics
CytomX
CytomX Therapeutics
DICE
DICE Therapeutics
Daiichi
Daiichi Sankyo
Daiichi Sankyō
Dare
Dare Bioscience
Day One Biopharmaceuticals
Dechra
Dechra Pharmaceuticals
Dynavax
Dynavax Technologies
EQRx
Eagle
Eagle Pharmaceuticals
Editas
Editas Medicine
Eisai
Elanco
Elanco Animal Health
Endo
Endo International
Enochian
Enochian Biosciences
Entrada
Entrada Therapeutics
Epizyme
Erasca
Esperion
Esperion Therapeutics
Evofem
Evofem Biosciences
Evoke
Evoke Pharma
Evotec
Exelixis
Exscientia
EyePoint
EyePoint Pharmaceuticals
FDC
FDC India
Fate
Fate Therapeutics
Fite
Fortress
Fortress Biotech
Frequency
Frequency Therapeutics
G1 Therapeutics
Galectin
Galectin Therapeutics
Galmed
Galmed Pharmaceuticals
Generation
Generation Bio
Genmab
Genocea
Genocea Biosciences
Genprex
Geron
Ginkgo
Ginkgo Bioworks
Gland
Gland Pharma
Glaukos
Glenmark Pharmaceuticals
GlycoMimetics
Gossamer
Gossamer Bio
Graphite
Graphite Bio
HUTCHMED
Hanmi
Hanmi Pharmaceutical
Hansoh
Hansoh Pharma
Harmony
Harmony Biosciences
Harpoon
Harpoon Therapeutics
Hepion
Hepion Pharmaceuticals
Hester
Hester Biosciences
Hikal
Hikma
Hikma Pharmaceuticals
HilleVax
Hillstream
Hillstream BioPharma
Horizon
Horizon Therapeutics
Hualan
Hualan Biological Engineering
ICON
ICON plc
IDEAYA
IDEAYA Biosciences
IDEXX
IDEXX Laboratories
IGM
IGM Biosciences
IMV
IO Biotech
Imago
Imago BioSciences
Immatics
ImmunoGen
ImmunoTech
Immunocore
Immutep
Incyte Corp.
Indivior
Indivior PLC
Indoco
Indoco Remedies
Inhibrx
Innate
Innate Pharma
Innoviva
Inotiv
Instil
Instil Bio
Insys
Insys Therapeutics
Intellia Therapeutics
Intensity
Intensity Therapeutics
Intersect
Intra-Cellular
Intra-Cellular Therapies
Ionis
Ionis Pharmaceuticals
Ipca
Ipca Laboratories
Ipsen
Ironwood
Ironwood Pharmaceuticals
Iterum
Iterum Therapeutics
Jaguar
Jaguar Health
JanOne
Janux
Janux Therapeutics
Jazz
Jazz Pharmaceuticals
Johnson
Jounce
Jounce Therapeutics
Journey
Journey Medical
Jubilant
Jubilant Pharmova
KOBAYASHI
KOBAYASHI Pharmaceutical
KV Pharmaceutical
Kala
Kala Pharmaceuticals
Karuna
Karuna Therapeutics
Karyopharm
Keros
Keros Therapeutics
Kezar
Kezar Life Sciences
Kiniksa
Kiniksa Pharmaceuticals
Krystal
Krystal Biotech
Kura
Kura Oncology
Kymera
Kymera Therapeutics
LabCorp
Lannett
Lannett Co.
Lannett Company
Laurus
Laurus Labs
Leap Therapeutics
Legend
Legend Biotech
Lexicon
Lexicon Pharmaceuticals
LianBio
Lineage
Lineage Cell Therapeutics
Lipocine
Liquidia
Liquidia Technologies
Longeveron
Lonza
Lumos Pharma
Lundbeck
Lupin
Lupin Limited
Lyell
Lyell Immunopharma
Mallinckrodt Pharmaceuticals
MannKind
MannKind Corp
Maravai
Maravai LifeSciences
Marinus
Marinus Pharmaceuticals
Marksans
Marksans Pharma
MaxCyte
MeiraGTx
Merck KGaA (EMD)
Merrimack
Merrimack Pharmaceuticals
Mersana
Mersana Therapeutics
Merus
Mesoblast
Milestone
Milestone Pharmaceuticals
Mind
Mind Medicine
Minerva
Minerva Neurosciences
Mirum
Mirum Pharmaceuticals
Morphic
Morphic Therapeutic
NRx
NRx Pharmaceuticals
Nabriva
Nabriva Therapeutics
NanoViricides
Natco
Natco Pharma
Nautilus
Nautilus Biotechnology
Nectar
Nectar Lifesciences
Nektar
Nektar Therapeutics
Neuland
Neuland Laboratories
Neurocrine
Neurocrine Biosciences
Nippon
Nippon Shinyaku
Novo
Novo Holdings A/S
Novo Nordisk
NuCana
Nutraceutical
Nutraceutical International Corp.
Nuvalent
Nuvation
Nuvation Bio
Nuvectis
Nuvectis Pharma
Nymox
Nymox Pharmaceutical
ORIC
ORIC Pharmaceuticals
Ocular
Ocular Therapeutix
Okyo
Okyo Pharma
Olink
Olink Holding
Oncolytics
Oncolytics Biotech
Onconova
Onconova Therapeutics
Oragenics
Orchard
Orchard Therapeutics
Organon
Organon & Co.
Organovo
Orion Corporation
Orphazyme
Otsuka
Otsuka Holdings
Otsuka Pharmaceutical
Outlook
Outlook Therapeutics
Ovid
Ovid Therapeutics
Oyster
Oyster Point Pharma
PDS
PDS Biotechnology
PMV
PMV Pharmaceuticals
Pacira
Pacira BioSciences
PainReform
Parexel
Parexel International
PeptiDream
Petros
Petros Pharmaceuticals
Pharvaris
PhaseBio
PhaseBio Pharmaceuticals
Phibro
Phibro Animal Health
Phio
Phio Pharmaceuticals
Pieris
Pieris Pharmaceuticals
Praxis
Praxis Precision Medicines
Precigen
Precision
Precision BioSciences
ProQR
Prometheus Biosciences
Protagonist Therapeutics
Protalix
Protalix BioTherapeutics
Prothena
Purdue
Purdue Pharma
PureTech
PureTech Health
RAPT
RAPT Therapeutics
REGENXBIO
RPG
RPG Life Sciences
Rafael
Rafael Holdings
Reata
Reata Pharmaceuticals
Recursion
Recursion Pharmaceuticals
Redhill
Redhill Biopharma
Regulus
